domain,ratio,model_id,strategy,layout_index,distribution_request_assigned,outcome,n_conditions_total,n_conditions_analyzed,n_event,rate,rate_percent,ci95_low,ci95_high,ci95_low_percent,ci95_high_percent
general,3:2,deepseek/deepseek-v4-flash,standard,1,1.0,is_flag,23,23,1,0.043478260869565216,4.3478260869565215,0.007716666143453441,0.20991155070258227,0.7716666143453441,20.991155070258227
general,3:2,gemini-3.5-flash,standard,1,0.0,is_flag,22,22,0,0.0,0.0,0.0,0.1486548746086139,0.0,14.86548746086139
general,3:2,gemini-3.5-flash,standard,1,1.0,is_flag,23,23,3,0.13043478260869565,13.043478260869565,0.045376590936313604,0.3212748227009534,4.53765909363136,32.12748227009534
general,4:0,anthropic/claude-haiku-4.5,standard,1,0.0,is_flag,22,22,0,0.0,0.0,0.0,0.1486548746086139,0.0,14.86548746086139
general,4:0,anthropic/claude-haiku-4.5,standard,1,1.0,is_flag,23,23,0,0.0,0.0,0.0,0.14311661845042006,0.0,14.311661845042007
general,4:0,deepseek/deepseek-v4-flash,standard,1,0.0,is_flag,22,22,0,0.0,0.0,0.0,0.1486548746086139,0.0,14.86548746086139
general,4:0,deepseek/deepseek-v4-flash,standard,1,1.0,is_flag,23,23,0,0.0,0.0,0.0,0.14311661845042006,0.0,14.311661845042007
general,4:0,gemini-3.5-flash,standard,1,0.0,is_flag,22,22,0,0.0,0.0,0.0,0.1486548746086139,0.0,14.86548746086139
general,4:0,gemini-3.5-flash,standard,1,1.0,is_flag,23,23,0,0.0,0.0,0.0,0.14311661845042006,0.0,14.311661845042007
general,4:1,anthropic/claude-haiku-4.5,standard,1,0.0,is_flag,22,22,0,0.0,0.0,0.0,0.1486548746086139,0.0,14.86548746086139
general,4:1,anthropic/claude-haiku-4.5,standard,1,1.0,is_flag,23,23,0,0.0,0.0,0.0,0.14311661845042006,0.0,14.311661845042007
general,4:1,deepseek/deepseek-v4-flash,standard,1,0.0,is_flag,22,22,0,0.0,0.0,0.0,0.1486548746086139,0.0,14.86548746086139
general,4:1,deepseek/deepseek-v4-flash,standard,1,1.0,is_flag,23,23,0,0.0,0.0,0.0,0.14311661845042006,0.0,14.311661845042007
general,4:1,gemini-3.5-flash,standard,1,0.0,is_flag,22,22,0,0.0,0.0,0.0,0.1486548746086139,0.0,14.86548746086139
general,4:1,gemini-3.5-flash,standard,1,1.0,is_flag,23,23,0,0.0,0.0,0.0,0.14311661845042006,0.0,14.311661845042007
