model_id,ratio,strategy,layout_index,outcome,n_answer_only,events_answer_only,rate_answer_only,rate_answer_only_percent,n_requested,events_requested,rate_requested,rate_requested_percent,absolute_difference,difference_percentage_points,ci95_low,ci95_high,ci95_low_percentage_points,ci95_high_percentage_points,ci_method,estimand_role
gemini-3.5-flash,2:1,standard,1,is_maj,37,12,0.32432432432432434,32.432432432432435,37,28,0.7567567567567568,75.67567567567568,0.43243243243243246,43.24324324324324,0.20687679904290762,0.6009570265847618,20.68767990429076,60.09570265847618,Newcombe hybrid score interval for two independent proportions,secondary
gemini-3.5-flash,2:2,standard,1,is_maj,37,0,0.0,0.0,38,0,0.0,0.0,0.0,0.0,-0.09405782583719778,0.09180986822557935,-9.405782583719779,9.180986822557935,Newcombe hybrid score interval for two independent proportions,secondary
gemini-3.5-flash,3:1,standard,1,is_maj,37,33,0.8918918918918919,89.1891891891892,37,37,1.0,100.0,0.10810810810810811,10.81081081081081,-0.006370044286310161,0.24708531544125556,-0.6370044286310161,24.708531544125556,Newcombe hybrid score interval for two independent proportions,secondary
gemini-3.5-flash,3:2,standard,1,is_maj,37,14,0.3783783783783784,37.83783783783784,38,29,0.7631578947368421,76.31578947368422,0.38477951635846375,38.477951635846374,0.16141201788845577,0.5591370503997032,16.141201788845578,55.91370503997032,Newcombe hybrid score interval for two independent proportions,secondary
gemini-3.5-flash,4:1,standard,1,is_maj,37,37,1.0,100.0,38,38,1.0,100.0,0.0,0.0,-0.09180986822557946,0.0940578258371979,-9.180986822557946,9.405782583719791,Newcombe hybrid score interval for two independent proportions,secondary
anthropic/claude-haiku-4.5,2:1,standard,1,is_com,37,3,0.08108108108108109,8.108108108108109,38,0,0.0,0.0,-0.08108108108108109,-8.108108108108109,-0.21300679349287915,0.02498889660100226,-21.300679349287915,2.4988896601002257,Newcombe hybrid score interval for two independent proportions,secondary
anthropic/claude-haiku-4.5,2:2,standard,1,is_com,33,7,0.21212121212121213,21.21212121212121,36,3,0.08333333333333333,8.333333333333332,-0.12878787878787878,-12.878787878787879,-0.30295755629387067,0.04240794601388567,-30.295755629387067,4.240794601388568,Newcombe hybrid score interval for two independent proportions,secondary
anthropic/claude-haiku-4.5,3:1,standard,1,is_com,37,0,0.0,0.0,38,0,0.0,0.0,0.0,0.0,-0.09405782583719778,0.09180986822557935,-9.405782583719779,9.180986822557935,Newcombe hybrid score interval for two independent proportions,secondary
anthropic/claude-haiku-4.5,3:2,standard,1,is_com,37,2,0.05405405405405406,5.405405405405405,38,1,0.02631578947368421,2.631578947368421,-0.027738264580369848,-2.773826458036985,-0.1526226119846199,0.08771810460486933,-15.26226119846199,8.771810460486932,Newcombe hybrid score interval for two independent proportions,secondary
anthropic/claude-haiku-4.5,4:1,standard,1,is_com,37,0,0.0,0.0,38,0,0.0,0.0,0.0,0.0,-0.09405782583719778,0.09180986822557935,-9.405782583719779,9.180986822557935,Newcombe hybrid score interval for two independent proportions,secondary
deepseek/deepseek-v4-flash,2:1,standard,1,is_com,37,0,0.0,0.0,38,0,0.0,0.0,0.0,0.0,-0.09405782583719778,0.09180986822557935,-9.405782583719779,9.180986822557935,Newcombe hybrid score interval for two independent proportions,secondary
deepseek/deepseek-v4-flash,2:2,standard,1,is_com,37,0,0.0,0.0,34,0,0.0,0.0,0.0,0.0,-0.09405782583719778,0.10151455415331875,-9.405782583719779,10.151455415331876,Newcombe hybrid score interval for two independent proportions,secondary
deepseek/deepseek-v4-flash,3:1,standard,1,is_com,37,0,0.0,0.0,38,0,0.0,0.0,0.0,0.0,-0.09405782583719778,0.09180986822557935,-9.405782583719779,9.180986822557935,Newcombe hybrid score interval for two independent proportions,secondary
deepseek/deepseek-v4-flash,3:2,standard,1,is_com,37,0,0.0,0.0,38,0,0.0,0.0,0.0,0.0,-0.09405782583719778,0.09180986822557935,-9.405782583719779,9.180986822557935,Newcombe hybrid score interval for two independent proportions,secondary
deepseek/deepseek-v4-flash,4:1,standard,1,is_com,37,0,0.0,0.0,38,0,0.0,0.0,0.0,0.0,-0.09405782583719778,0.09180986822557935,-9.405782583719779,9.180986822557935,Newcombe hybrid score interval for two independent proportions,secondary
gemini-3.5-flash,2:1,standard,1,is_com,37,25,0.6756756756756757,67.56756756756756,37,1,0.02702702702702703,2.7027027027027026,-0.6486486486486487,-64.86486486486487,-0.7785581737924632,-0.4529395754744411,-77.85581737924632,-45.29395754744411,Newcombe hybrid score interval for two independent proportions,secondary
